f1,convergence,popSize
2,65728.002539914,15
4,44622.956504489,15
6,32177.314115598,15
8,39965.768291477,15
10,22484.932739953,15
12,17580.034870703,15
14,10482.216364359,15
16,10577.323443715,15
18,6606.3125325985,15
20,10906.617742248,15
22,12347.808915194,15
24,6319.5318169888,15
26,4580.0851212827,15
28,6719.9581832347,15
30,1766.9120639612,15
32,1073.3751944248,15
34,2659.4024373825,15
36,312.41653980699,15
38,2329.1843025421,15
40,206.27759821706,15
42,1082.9880941346,15
44,5292.6381555365,15
46,129.28464501587,15
48,126.08899952214,15
50,484.09708639976,15
52,2628.1919972646,15
54,1673.1034690349,15
56,2106.9464537405,15
58,314.75579338808,15
60,57.034461895877,15
62,6.7623426391015,15
64,9.6368683580183,15
66,345.41246697767,15
68,61.931120171163,15
70,7.3686387230567,15
72,0.010463255004455,15
74,3.8031598045154,15
76,10.841508772875,15
78,187.45059621079,15
80,0.12645816395828,15
82,1.7564868998837,15
84,0.016631737313728,15
86,0.089322400167089,15
88,2271.1030330856,15
90,0.039160005342075,15
92,5.7454488794981,15
94,43.432551822633,15
96,0.00093351097073064,15
98,1817.4412180687,15
100,0.020809196781388,15

f2,convergence,popSize
2,-1.6255472760609E+23,15
4,-4.3702169650295E+22,15
6,-1.0958236913849E+23,15
8,-8.2687559437568E+22,15
10,-9.4996070547359E+22,15
12,-4.2695399438614E+23,15
14,-9.3126653719647E+22,15
16,-7.7410240411985E+23,15
18,-3.77605537359E+23,15
20,-6.3812408090672E+22,15
22,-5.6141522649321E+23,15
24,-5.4054154502346E+22,15
26,-3.6047554696687E+23,15
28,-5.6597335026803E+22,15
30,-5.7813082531528E+22,15
32,-3.1252129873695E+23,15
34,-3.7338123916643E+22,15
36,-3.6632169435559E+23,15
38,-1.4508269296651E+22,15
40,-2.7363146949786E+23,15
42,-2.6402833724093E+22,15
44,-3.6313928974544E+22,15
46,-7.8377607507375E+22,15
48,-2.6294603177414E+22,15
50,-2.754956321171E+22,15
52,-1.0259548859589E+22,15
54,-3.066916431928E+22,15
56,-3.6890875406764E+22,15
58,-5.203807276725E+22,15
60,-5.7764367236041E+22,15
